slug,name
writing_201,Writing 201
games,Games
game_design,Game Design
winter_running,Winter Running
summer_2014,Summer 2014
hackathons,Hackathons
mhacks,MHacks
programming,Programming
training,Training
game_analysis,Game Analysis
unity,Unity
meta,Meta
pebble,Pebble
